ID,Gender,Marital Status,Age,City,State,Zip,Email Domain,Total Given,Total Number of Gifts,Average Gift Amount,Largest Gift Amount,Smallest gift Amount,Total unsolicited gifts,Total Event Participations,Total Meetings or Phone Calls,First Appeal Date,Is Org Contact?,First Gift Date,First Gift Amount,Second Gift Date,Second Gift Amount
10204240,Unknown,Widowed,71,Minneapolis,MN,55413-2122,embarqmail.com,$500.00,2,$250.00,$300.00,$200.00,0,0,0,11/16/2011,No,12/26/2012,$300.00,12/31/2013,$200.00
10029916,Unknown,,,Pasadena,CA,91106-3816,,$150.00,2,$75.00,$100.00,$50.00,2,0,0,3/9/2012,,12/12/2011,$50.00,12/21/2012,$100.00
10043023,Unknown,Married,85,Roseville,MN,55113-6677,,$175.00,5,$35.00,$50.00,$25.00,2,0,0,,No,4/23/2013,$25.00,11/14/2013,$25.00
10077726,Female,,,Minneapolis,MN,55402-2006,CenterPointEnergy.com,$50.00,1,$50.00,$50.00,$50.00,0,3,0,4/11/2011,Yes,5/7/2011,$50.00,,
10030611,Unknown,,,Minnetonka,MN,55305-2046,,$50.00,1,$50.00,$50.00,$50.00,0,0,0,,,5/26/2011,$50.00,,
10032089,Male,,,Austin,TX,78701-0031,,"$1,155.00",2,$577.50,"$1,000.00",$155.00,0,1,1,11/15/2012,,4/21/2012,"$1,000.00",4/21/2012,$155.00
10091492,Unknown,,64,Las Cruces,NM,88011-4229,,$360.00,6,$60.00,$100.00,$50.00,0,0,0,11/16/2011,No,5/2/2011,$50.00,7/12/2011,$50.00
10035034,Male,,54,Topeka,KS,66604-2522,,$500.00,1,$500.00,$500.00,$500.00,0,0,0,3/9/2012,,12/27/2011,$500.00,,
10167346,Unknown,,,Minneapolis,MN,55436-1303,comcast.net,"$1,250.00",4,$312.50,$500.00,$250.00,0,5,0,,,5/31/2013,$500.00,10/27/2014,$250.00
10035572,Unknown,,57,Brooklyn Park,MN,55429,valspar.com,$5.00,1,$5.00,$5.00,$5.00,1,0,0,3/9/2012,,12/6/2011,$5.00,,
10036666,Female,,60,Columbia,MO,65203-8301,,$530.00,1,$530.00,$530.00,$530.00,0,0,0,,,6/3/2013,$530.00,,
10036856,Male,,75,White Bear Lake,MN,55110-6637,aol.com,$25.00,2,$12.50,$20.00,$5.00,0,0,0,2/14/2011,No,5/30/2012,$5.00,4/17/2013,$20.00
10036871,Male,,41,Saint Paul,MN,55118-1649,yahoo.com,$60.00,1,$60.00,$60.00,$60.00,0,0,0,,No,7/17/2012,$60.00,,
10037218,Male,,49,Woodbury,MN,55129-2301,aol.com,$10.00,1,$10.00,$10.00,$10.00,0,0,0,,No,7/17/2012,$10.00,,
10037350,Unknown,,55,Hamel,MN,55340-4544,,$100.00,1,$100.00,$100.00,$100.00,0,0,0,9/13/2012,,5/21/2012,$100.00,,
10037367,Unknown,,71,Saint Paul,MN,55116-1730,schmitzandschmidt.com,$75.00,1,$75.00,$75.00,$75.00,0,0,0,9/9/2011,,5/26/2011,$75.00,,
10037400,Male,,46,Roberts,WI,54023-5832,StPaul.com,$100.00,1,$100.00,$100.00,$100.00,0,1,0,4/11/2011,No,4/20/2013,$100.00,,
10037562,Unknown,,40,Salem,VA,24153-0528,,$20.00,1,$20.00,$20.00,$20.00,0,0,0,11/12/2012,No,10/5/2012,$20.00,,
10037994,Female,,59,Woodbury,MN,55129-4296,comcast.net,$50.00,1,$50.00,$50.00,$50.00,0,0,0,5/18/2012,No,10/2/2012,$50.00,,
10038171,Male,Married,58,Hudson,WI,54016,andersencorp.com,"$125,300.00",9,"$13,922.22","$100,000.00",$300.00,0,7,9,11/16/2011,No,12/5/2011,$500.00,5/30/2012,$500.00
10038255,Male,,60,Apple Valley,MN,55124-7969,st.paul.com,$250.00,6,$41.67,$50.00,$25.00,0,0,0,9/9/2011,No,4/19/2011,$25.00,5/25/2012,$25.00
10038274,Unknown,,67,Woodbury,MN,55125-2406,stpaul.com,$20.00,1,$20.00,$20.00,$20.00,0,0,0,,,8/16/2013,$20.00,,
10038342,Unknown,,60,Shoreview,MN,55126-8410,stpaul.com,$350.00,5,$70.00,$100.00,$50.00,0,3,0,,No,5/7/2011,$50.00,5/7/2011,$50.00
10038438,Male,Married,57,Woodbury,MN,55125,mmm.com,$50.00,1,$50.00,$50.00,$50.00,0,0,0,11/16/2011,No,6/3/2013,$50.00,,
10038490,Female,,32,Woodbury,MN,55125-9330,,$20.00,1,$20.00,$20.00,$20.00,0,0,0,,,6/3/2013,$20.00,,
10038717,Male,Married,61,Roseville,MN,55113-5436,,$100.00,1,$100.00,$100.00,$100.00,0,0,0,11/16/2011,No,12/15/2011,$100.00,,
10038884,Female,,84,Roseville,MN,55113-3877,aol.com,$10.00,1,$10.00,$10.00,$10.00,0,0,0,,No,12/5/2012,$10.00,,
10039769,Male,,73,Stillwater,MN,55082-8388,edinareality.com,$25.00,1,$25.00,$25.00,$25.00,0,0,0,4/11/2011,No,1/27/2011,$25.00,,
10039808,Unknown,,53,Saint Paul,MN,55105-1716,franchisetimes.com,$30.00,1,$30.00,$30.00,$30.00,0,0,0,,No,6/3/2013,$30.00,,
10039816,Unknown,,43,Saint Paul,MN,55125-6706,woodburyumc.org,$50.00,1,$50.00,$50.00,$50.00,0,0,0,,No,6/3/2013,$50.00,,
10039877,Male,,77,Saint Paul,MN,55119-5619,comcast.net,"$12,415.00",10,"$1,241.50","$3,000.00",$165.00,1,1,0,2/14/2011,No,12/31/2012,"$2,000.00",4/20/2013,$300.00
10040033,Female,,57,West St Paul,MN,55118-2120,securian.com,$125.00,4,$31.25,$35.00,$25.00,0,0,0,4/11/2011,No,5/15/2013,$35.00,5/22/2014,$25.00
10040496,Male,,58,Woodbury,MN,55125-5001,yahoo.com,$900.00,3,$300.00,$500.00,$100.00,0,3,2,2/14/2011,No,2/19/2012,$300.00,9/2/2014,$100.00
10040629,Male,,56,Minneapolis,MN,55419-1129,gmail.com,$255.00,3,$85.00,$130.00,$25.00,0,2,1,4/11/2011,No,5/7/2011,$100.00,5/7/2011,$25.00
10041349,Male,,66,Saint Paul,MN,55104-4937,towlefin.com,$100.00,1,$100.00,$100.00,$100.00,0,0,0,,,6/12/2013,$100.00,,
10041716,Unknown,,58,Circle Pines,MN,55014,hotmail.com,$25.00,1,$25.00,$25.00,$25.00,0,0,0,9/13/2012,No,6/29/2012,$25.00,,
10041806,Unknown,,48,Edina,MN,55439,kpmg.com,"$6,300.00",6,"$1,050.00","$2,500.00",$20.00,0,2,3,,No,4/21/2012,"$2,500.00",4/21/2012,$130.00
10041884,Female,,69,Inver Grove Heights,MN,55077,hotmail.com,$50.00,3,$16.67,$20.00,$10.00,0,0,0,11/16/2011,No,12/15/2011,$10.00,12/1/2013,$20.00
10041937,Male,,,Albert Lea,MN,56007-1338,,$100.00,1,$100.00,$100.00,$100.00,0,0,0,11/16/2011,,8/10/2011,$100.00,,
10042311,Female,,62,Lake Elmo,MN,55042,comcast.net,"$1,264.26",8,$158.03,$300.77,$50.00,2,2,0,9/9/2011,No,3/14/2011,$263.49,11/20/2013,$100.00
10042442,Unknown,,39,Saint Paul,MN,55105-6800,travelers.com,$310.00,3,$103.33,$110.00,$100.00,0,2,0,9/9/2011,No,5/7/2011,$110.00,5/7/2011,$100.00
10042476,Unknown,,61,Woodbury,MN,55125-9135,,$20.00,1,$20.00,$20.00,$20.00,0,0,0,9/13/2012,,4/16/2012,$20.00,,
10042595,Female,Married,63,Lakeville,MN,55044,,$200.00,3,$66.67,$100.00,$50.00,0,4,0,11/16/2011,Yes,7/9/2012,$50.00,9/4/2014,$50.00
10042609,Male,,56,Farmington,MN,55024-1790,aol.com,$50.00,1,$50.00,$50.00,$50.00,0,3,0,2/14/2011,Yes,7/3/2012,$50.00,,
10042798,Male,,65,Mahtomedi,MN,55115-1791,aol.com,$141.15,5,$28.23,$50.00,$10.00,0,0,0,9/9/2011,,5/26/2011,$25.00,11/28/2011,$10.00
10042928,Unknown,,61,Brooklyn Park,MN,55444-1127,gmail.com,$370.00,3,$123.33,$250.00,$50.00,0,3,0,4/11/2011,,5/7/2011,$250.00,5/7/2011,$50.00
10043035,Unknown,,30,Edina,MN,55435-1560,mn.rr.com,$25.00,1,$25.00,$25.00,$25.00,0,0,0,,No,4/8/2013,$25.00,,
10197742,Unknown,Married,,St. Paul,MN,55104,gmail.com,$250.00,5,$50.00,$50.00,$50.00,0,0,0,11/16/2011,,7/23/2011,$50.00,12/12/2011,$50.00
10043345,Unknown,,40,Edina,MN,55410-2720,carval.com,$250.00,3,$83.33,$100.00,$50.00,0,3,0,11/16/2011,No,4/21/2012,$50.00,4/20/2013,$100.00
10043520,Unknown,,78,Minneapolis,MN,55427-3771,uslink.net,$50.00,2,$25.00,$25.00,$25.00,0,0,0,4/11/2011,No,9/4/2013,$25.00,10/22/2015,$25.00
10043533,Female,,57,Robbinsdale,MN,55422-1514,,$250.00,1,$250.00,$250.00,$250.00,0,1,0,,No,4/21/2012,$250.00,,
10043622,Unknown,,56,Saint Paul,MN,55108-1428,,$75.00,1,$75.00,$75.00,$75.00,0,0,0,,No,12/14/2012,$75.00,,
10043857,Unknown,Married,74,White Bear Lk,MN,55110-4152,,$300.00,1,$300.00,$300.00,$300.00,0,1,0,2/14/2011,,4/20/2013,$300.00,,
10043887,Female,,32,Arden Hills,MN,55112,gmail.com,$370.00,10,$37.00,$100.00,$10.00,0,2,0,2/14/2011,No,8/4/2011,$15.00,12/6/2011,$10.00
10043903,Unknown,,65,Saint Paul,MN,55109-1158,,$50.00,1,$50.00,$50.00,$50.00,0,1,0,,,4/20/2013,$50.00,,
10044191,Unknown,,57,Minneapolis,MN,55419-5219,,$25.00,1,$25.00,$25.00,$25.00,0,0,0,9/9/2011,,5/10/2011,$25.00,,
10044287,Male,Married,56,White Bear Lake,MN,55110,bonestroo.com,$100.00,2,$50.00,$50.00,$50.00,0,1,0,11/12/2012,No,7/11/2012,$50.00,7/20/2012,$50.00
10044561,Unknown,Married,,Saint Paul,MN,55104-2262,tcumn.edu,$50.00,1,$50.00,$50.00,$50.00,0,1,0,9/9/2011,,5/7/2011,$50.00,,
10044771,Female,Divorced,47,Minnetonka,MN,55345-2826,comcast.net,$25.00,1,$25.00,$25.00,$25.00,0,3,1,4/11/2011,No,5/7/2011,$25.00,,
10044900,Unknown,,,Minneapolis,MN,55402-2431,riderlaw.com,$450.00,2,$225.00,$300.00,$150.00,0,1,1,,,4/20/2013,$300.00,4/12/2014,$150.00
10045063,Female,,46,Minneapolis,MN,55454-1207,yahoo.com,$25.00,1,$25.00,$25.00,$25.00,0,0,0,,No,5/29/2012,$25.00,,
10045568,Male,,62,Plymouth,MN,55447-5601,cargill.com,$50.00,1,$50.00,$50.00,$50.00,0,0,0,,No,12/31/2012,$50.00,,
10045664,Female,,49,Coon Rapids,MN,55448-7563,stewart.com,"$2,500.00",1,"$2,500.00","$2,500.00","$2,500.00",1,0,7,4/11/2011,No,10/3/2011,"$2,500.00",,
10045898,Female,,61,Arden Hills,MN,55112,gmail.com,$35.00,2,$17.50,$25.00,$10.00,0,0,0,11/16/2011,No,12/14/2012,$10.00,11/17/2016,$25.00
10046695,Male,Married,75,Saint Paul,MN,55108,gmail.com,"$2,000.00",4,$500.00,$500.00,$500.00,1,0,0,,,12/15/2011,$500.00,4/16/2012,$500.00
10046872,Male,,62,Roseville,MN,55113-5956,msn.com,$135.00,2,$67.50,$85.00,$50.00,0,0,0,,Yes,5/17/2011,$50.00,6/1/2011,$85.00
10047412,Unknown,,,Minneapolis,MN,55407-3709,pacbell.net,$70.00,1,$70.00,$70.00,$70.00,0,0,0,,,8/12/2011,$70.00,,
10047481,Male,,45,Shoreview,MN,55126-1401,asme.org,$50.00,1,$50.00,$50.00,$50.00,0,0,0,4/11/2011,No,7/15/2013,$50.00,,
10197718,Male,Married,,Saint Paul,MN,55124-5575,charter.net,$150.00,8,$18.75,$25.00,$10.00,0,0,0,4/11/2011,No,4/22/2011,$20.00,12/13/2011,$10.00
10048357,Female,,,Roseville,MN,55113-1803,att.net,$100.00,1,$100.00,$100.00,$100.00,0,0,0,,No,11/29/2012,$100.00,,
10048789,Male,Married,,Saint Paul,MN,55105-1461,,$100.00,1,$100.00,$100.00,$100.00,0,0,0,,No,12/15/2011,$100.00,,
10049045,Male,,61,Saint Paul,MN,55108-1643,mrklingson.org,$300.00,3,$100.00,$100.00,$100.00,0,0,0,2/14/2011,No,5/4/2011,$100.00,6/19/2013,$100.00
10049112,Male,,67,Arden Hills,MN,55112-1907,COMCAST.NET,$25.00,1,$25.00,$25.00,$25.00,0,0,0,,No,5/17/2011,$25.00,,
10049134,Female,,89,Saint Paul,MN,55112-7971,aol.com,$100.00,1,$100.00,$100.00,$100.00,1,0,0,,No,12/28/2011,$100.00,,
10049521,Female,,57,Minneapolis,MN,55432-6040,yahoo.com,$280.00,6,$46.67,$50.00,$30.00,2,0,0,,No,7/25/2011,$50.00,11/21/2011,$50.00
10049712,Female,,65,Anoka,MN,55303-2773,,$100.00,1,$100.00,$100.00,$100.00,0,0,0,11/12/2012,,7/3/2012,$100.00,,
10049744,Male,Married,72,Stillwater,MN,55082-2405,mac.com,"$12,414.63",4,"$3,103.66","$3,511.20","$2,819.33",1,0,1,,No,9/16/2013,"$2,819.33",10/24/2014,"$2,936.00"
10050073,Female,,64,St. Paul,MN,55119,yahoo.com,$390.00,5,$78.00,$150.00,$40.00,0,0,0,,No,6/18/2012,$150.00,6/30/2013,$100.00
10050511,Male,,76,Saint Paul,MN,55113-2302,,$25.00,1,$25.00,$25.00,$25.00,0,0,0,4/11/2011,No,6/11/2013,$25.00,,
10197743,Male,,,Shoreview,MN,55126-3119,,$900.00,5,$180.00,$200.00,$100.00,1,0,0,9/13/2012,,1/12/2012,$100.00,12/26/2012,$200.00
10051247,Female,,,Maple Grove,MN,55369-3757,ampf.com,$50.00,1,$50.00,$50.00,$50.00,0,0,0,4/11/2011,No,12/15/2011,$50.00,,
10052127,Female,,,Minneapolis,MN,55406-3730,hotmail.com,$325.00,4,$81.25,$100.00,$50.00,0,0,0,11/12/2012,No,8/2/2012,$100.00,5/20/2014,$100.00
10052215,Male,,39,Minneapolis,MN,55410,genmills.com,$20.00,1,$20.00,$20.00,$20.00,0,0,0,11/16/2011,No,12/7/2011,$20.00,,
10052308,Female,,64,Fridley,MN,55421-1367,yahoo.com,$50.00,1,$50.00,$50.00,$50.00,0,1,0,2/14/2011,No,11/29/2011,$50.00,,
10052420,Male,,39,Saint Paul,MN,55116-1132,yahoo.com,$100.00,1,$100.00,$100.00,$100.00,0,0,0,4/11/2011,No,6/8/2011,$100.00,,
10052733,Female,,68,White Bear Lake,MN,55110,bethel.edu,$25.00,1,$25.00,$25.00,$25.00,0,0,0,4/11/2011,No,12/14/2012,$25.00,,
10053607,Unknown,,,Minneapolis,MN,55403,target.com,$400.00,1,$400.00,$400.00,$400.00,0,1,0,9/9/2011,,5/7/2011,$400.00,,
10167473,Unknown,,,Hopkins,MN,55343-7328,,$100.00,5,$20.00,$20.00,$20.00,0,0,0,,,6/7/2013,$20.00,7/22/2013,$20.00
10054727,Female,,,Minneapolis,MN,55431-3258,,$150.00,2,$75.00,$100.00,$50.00,0,1,0,11/17/2011,,5/7/2011,$100.00,5/7/2011,$50.00
10055204,Female,,66,Neenah,WI,54956-1332,thrivent.com,$15.00,1,$15.00,$15.00,$15.00,0,0,0,,No,9/24/2012,$15.00,,
10167381,Unknown,,,Minneapolis,MN,55436-1079,,$20.00,2,$10.00,$10.00,$10.00,0,0,0,,,6/3/2013,$10.00,11/29/2016,$10.00
10055627,Male,Married,66,Champlin,MN,55316-3154,barr.com,$50.00,1,$50.00,$50.00,$50.00,0,0,0,4/11/2011,Yes,12/5/2011,$50.00,,
10055895,Male,Married,,Minneapolis,MN,55419-4738,msn.com,$100.00,1,$100.00,$100.00,$100.00,0,0,0,9/13/2012,,10/27/2011,$100.00,,
10057008,Female,,46,Maple Grove,MN,55311,genmills.com,$250.00,1,$250.00,$250.00,$250.00,0,2,0,,No,4/20/2013,$250.00,,
10057547,Female,,54,Hopkins,MN,55305-3138,,$500.00,4,$125.00,$200.00,$100.00,0,0,0,9/9/2011,No,5/31/2011,$200.00,3/2/2015,$100.00
10058658,Female,,56,Cottage Grove,MN,55016-3335,guardian-angels.org,$75.00,1,$75.00,$75.00,$75.00,0,0,0,11/16/2011,No,4/30/2013,$75.00,,
10058759,Female,,56,Prior Lake,MN,55372-3226,mchsi.com,$50.00,1,$50.00,$50.00,$50.00,0,0,0,4/11/2011,No,5/9/2011,$50.00,,
10058992,Male,,76,Cottage Grove,MN,55016,usfamily.net,$90.00,1,$90.00,$90.00,$90.00,0,0,0,2/14/2011,Yes,4/29/2013,$90.00,,
10059056,Female,,36,Minneapolis,MN,55406-2810,yahoo.com,$156.66,1,$156.66,$156.66,$156.66,0,0,0,,No,12/30/2012,$156.66,,
10059094,Female,,46,Edina,MN,55436,comcast.net,$20.00,1,$20.00,$20.00,$20.00,0,0,0,,No,9/30/2013,$20.00,,
10059154,Unknown,,,Maple Plain,MN,55359-9685,thrivent.com,$750.00,1,$750.00,$750.00,$750.00,0,0,2,3/9/2012,,12/2/2011,$750.00,,
10059196,Unknown,,68,Minnetonka,MN,55345-4253,thrivent.com,$25.00,1,$25.00,$25.00,$25.00,0,0,0,4/11/2011,No,9/30/2013,$25.00,,
10059449,Female,,40,Fergus Falls,MN,56537-2346,,$75.00,1,$75.00,$75.00,$75.00,0,1,0,9/13/2012,No,4/21/2012,$75.00,,
10060237,Male,,60,Orono,MN,55356,choicecompanies.com,$50.00,1,$50.00,$50.00,$50.00,0,0,0,9/9/2011,No,5/26/2011,$50.00,,
10060356,Female,,,Eagan,MN,55123-2093,,$50.00,1,$50.00,$50.00,$50.00,0,0,0,,No,6/21/2013,$50.00,,
10060371,Male,,,Lakeville,MN,55044-5224,msn.com,$350.00,2,$175.00,$250.00,$100.00,0,0,0,3/9/2012,No,12/15/2011,$100.00,12/18/2013,$250.00
10060409,Female,,60,Lakeville,MN,55044-5618,gmail.com,$25.00,1,$25.00,$25.00,$25.00,0,0,0,9/9/2011,No,3/31/2011,$25.00,,
10061505,Female,,27,Oakdal,MN,55128,hotmail.com,$52.22,1,$52.22,$52.22,$52.22,0,0,0,,No,4/19/2013,$52.22,,
10061525,Unknown,,,Brainerd,MN,56401-2123,,$500.00,1,$500.00,$500.00,$500.00,0,1,0,,No,4/20/2013,$500.00,,
10061686,Female,,68,Maple Grove,MN,55369-7310,,$150.00,3,$50.00,$50.00,$50.00,0,0,0,,No,8/23/2013,$50.00,11/26/2013,$50.00
10061754,Male,,56,Eagan,MN,55123-3059,genmills.com,$815.00,4,$203.75,$400.00,$65.00,0,2,0,4/11/2011,No,8/5/2013,$400.00,8/7/2013,$100.00
10061903,Female,Married,62,Prior LAKE,MN,55372,integraonline.com,$100.00,1,$100.00,$100.00,$100.00,0,0,1,,No,12/14/2012,$100.00,,
10062148,Female,,38,Roseville,MN,55113,yahoo.com,$235.00,2,$117.50,$150.00,$85.00,0,4,0,2/14/2011,No,4/21/2012,$85.00,4/21/2012,$150.00
10063094,Female,,69,Wayzata,MN,55391-1389,,$25.00,1,$25.00,$25.00,$25.00,0,0,0,9/13/2012,No,5/31/2012,$25.00,,
10063376,Female,,57,Beldenville,WI,54003-5504,yahoo.com,$50.00,2,$25.00,$25.00,$25.00,0,0,0,11/16/2011,No,5/9/2012,$25.00,9/15/2014,$25.00
10063379,Male,,41,Inver Grove Heights,MN,55077,gmail.com,$250.00,1,$250.00,$250.00,$250.00,0,0,0,11/16/2011,No,9/28/2011,$250.00,,
10063508,Male,Married,56,Eagan,MN,55123-1681,securian.com,$490.00,5,$98.00,$150.00,$20.00,0,0,0,11/12/2012,No,7/17/2012,$100.00,9/26/2012,$20.00
10063540,Male,,59,Shoreview,MN,55126-7020,securian.com,$10.00,1,$10.00,$10.00,$10.00,0,0,0,2/14/2011,No,7/17/2012,$10.00,,
10063553,Female,,43,Saint Paul,MN,55128-5429,minnesotalife.com,$140.00,1,$140.00,$140.00,$140.00,0,0,0,11/16/2011,No,8/12/2011,$140.00,,
10063825,Male,,,Eden Prairie,MN,55347-1612,,$70.00,1,$70.00,$70.00,$70.00,0,0,0,,,7/13/2013,$70.00,,
10064016,Female,,,Burnsville,MN,55306-6980,,$100.00,1,$100.00,$100.00,$100.00,0,0,1,,No,12/16/2012,$100.00,,
10064234,Female,,67,St Louis Park,MN,55416-3937,stpaultravelers.com,$25.00,1,$25.00,$25.00,$25.00,0,0,0,9/13/2012,No,5/15/2012,$25.00,,
10064300,Male,,,Long Lake,MN,55356-9761,aol.com,"$7,150.00",5,"$1,430.00","$5,000.00",$100.00,0,1,0,,No,4/20/2013,$100.00,,
10064306,Female,,55,Richfield,MN,55423-1911,stpaultravelers.com,$100.00,1,$100.00,$100.00,$100.00,0,0,1,,No,12/14/2012,$100.00,,
10064340,Female,,54,Oakdale,MN,55128-5328,securian.com,$40.00,2,$20.00,$20.00,$20.00,0,0,0,,No,6/28/2013,$20.00,6/24/2016,$20.00
10064349,Female,,55,Birchwood,MN,55110-1862,securian.com,$120.00,4,$30.00,$40.00,$20.00,0,0,0,,No,6/22/2012,$20.00,6/28/2013,$20.00
